"fecha","autoridad_ambiental","nombre_de_la_estaci_n","tecnolog_a","latitud","longitud","c_digo_del_departamento","departamento","c_digo_del_municipio","nombre_del_municipio","tipo_de_estaci_n","tiempo_de_exposici_n","variable","unidades","concentraci_n","geocoded_column"
"04/03/2012 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","25.91","(6.436, -75.333431)"
"07/03/2012 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","53.54","(6.436, -75.333431)"
"10/03/2012 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","53.57","(6.436, -75.333431)"
"13/03/2012 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","41.48","(6.436, -75.333431)"
"16/03/2012 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","27.82","(6.436, -75.333431)"
"19/03/2012 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","22.35","(6.436, -75.333431)"
"22/03/2012 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","27.95","(6.436, -75.333431)"
"25/03/2012 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","27.57","(6.436, -75.333431)"
"28/03/2012 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","36.57","(6.436, -75.333431)"
"31/03/2012 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","30.76","(6.436, -75.333431)"
"03/04/2012 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","24.23","(6.436, -75.333431)"
"06/04/2012 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","27.47","(6.436, -75.333431)"
